,var,mean_of_mag
0,entrainment,0.4449434052759916
1,w,0.44915531474081677
2,w*,1.3669797337719776
3,w_s,0.927407806730302
4,pressure_vel,0.052869203656023364
5,pressure_tendency,0.07664786943771916
6,p_error,0.056345413895125776
7,adv,0.010071033524075797
